energy-kcal_100g,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
145.45454545455,609.0,6.3636363636364,0.0,21.818181818182
0.0,0.0,0.0,0.0,0.0
428.0,1791.0,15.0,64.0,7.0
167.0,699.0,15.0,10.0,3.33
0.0,0.0,0.0,0.0,0.0
645.0,2699.0,64.232,32.6,3.432
263.66666666666663,1145.8,13.870165092795588,24.54866666666666,22.400666666666663
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.7208412,7.0,0.2,0.64,0.2
430.0,1799.0,22.0,52.0,5.5
356.0,1490.0,9.71,42.1,35.6
19.7183,83.0,0.0,5.0704,0.0
128.20512820513,536.0,3.2051282051282,25.641025641026,0.0
571.0,2389.0,50.0,17.86,25.0
0.0,0.0,0.0,0.0,0.0
33.8,141.0,0.0,7.89,0.0
428.57142857143,1793.0,17.857142857143,67.857142857143,3.5714285714286
500.0,2092.0,0.0,100.0,0.0
0.0,0.0,0.0,95.0,0.0
224.4,873.2,6.5200000000000005,3.5200000000000005,9.18
0.0,0.0,0.0,0.0,0.0
21.0,88.0,0.0,3.31,0.83
0.0,0.0,0.0,0.0,0.0
6.6666666666667,28.0,0.0,0.0,0.0
533.33333333333,2231.0,40.0,30.0,20.0
107.0,448.0,1.79,8.93,14.29
58.333333333333,244.0,1.6666666666667,10.416666666667,0.41666666666667
197.0,824.0,4.92,34.43,1.64
79.0,331.0,0.0,13.48,5.62
417.0,1745.0,12.5,75.0,4.17
83.333333333333,349.0,6.6666666666667,6.6666666666667,0.0
571.0,2389.0,42.86,50.0,7.14
458.33333333333,1918.0,14.583333333333,66.666666666667,12.5
124.0,519.0,4.87,15.04,6.19
440.0,1841.0,16.0,72.0,4.0
41.0,172.0,0.0,8.2,1.64
278.02,1485.4,8.346,24.078,10.43399994277954
312.5,1308.0,0.0,68.75,6.25
278.02,1485.4,8.346,24.078,10.43399994277954
515.4,2154.8,49.992,26.82666666666666,16.866
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
123.52941176471,517.0,4.1176470588235,16.470588235294,5.8823529411765
29.166666666667,122.0,1.25,12.083333333333,3.3333333333333
101.0,423.0,1.10000002384186,19.1000003814697,2.5
185.18518518519,775.0,0.0,74.074074074074,0.0
0.0,0.0,0.0,0.0,0.0
62.0,259.0,0.0,15.93,0.0
130.0,544.0,0.0,22.0,2.0
25.2,106.0,0.0,5.88,0.84
91.0,381.0,1.36,11.82,6.36
325.0,1360.0,0.0,82.5,0.0
213.0,893.0,11.3,22.0,5.33
278.0,1163.0,5.56,48.89,7.78
385.0,1611.0,0.0,0.0,0.0
228.57,956.0,11.43,25.71,4.29
867.0,3628.0,93.33,0.0,0.0
0.0,0.0,0.0,0.0,0.0
400.0,1674.0,13.33,66.67,6.67
200.0,837.0,10.0,23.33,6.67
283.57183999999995,488.6,2.52,21.3433333333334,7.5567133333334
20.833333333333,87.0,0.0,5.0,0.0
61.4,1083.6,1.8,19.0,2.8940000023841863
393.0,1644.0,3.57,75.0,10.71
515.4,2154.8,49.992,26.82666666666666,16.866
0.0,0.0,0.0,0.0,0.0
594.0,2485.0,50.0,21.88,25.0
50.0,209.0,2.08,5.0,3.33
282.0,1180.0,0.40000000596046,75.0,2.4000000953674
396.0,1657.0,7.6,4.5,75.0
536.0,2243.0,25.0,67.86,3.57
333.0,1393.0,0.0,76.19,4.76
24.0,100.0,0.41,4.07,0.81
125.0,523.0,2.68,7.14,19.64
85.0,356.0,0.0,13.85,6.92
400.0,1674.0,11.43,68.57,8.57
196.3294117647058,1185.8,7.1399999777476,9.36096254777144,302.35999998092655
